region_id,chrom,start,end,block_start,block_end,notes
ldEUR_01_0036,1,57793563,58093563,57021728,58865399,LDetect EUR block (full block: 1:57021728-58865399)
ldEUR_01_0037,1,59227904,59527904,58865399,59890409,LDetect EUR block (full block: 1:58865399-59890409)
ldEUR_01_0038,1,60756387,61056387,59890409,61922365,LDetect EUR block (full block: 1:59890409-61922365)
ldEUR_01_0039,1,62538727,62838727,61922365,63455089,LDetect EUR block (full block: 1:61922365-63455089)
ldEUR_01_0040,1,64098396,64398396,63455089,65041704,LDetect EUR block (full block: 1:63455089-65041704)
ldEUR_01_0041,1,65840554,66140554,65041704,66939404,LDetect EUR block (full block: 1:65041704-66939404)
ldEUR_01_0042,1,67558649,67858649,66939404,68477895,LDetect EUR block (full block: 1:66939404-68477895)
ldEUR_01_0043,1,68932755,69232755,68477895,69687616,LDetect EUR block (full block: 1:68477895-69687616)
ldEUR_01_0044,1,70380043,70680043,69687616,71372470,LDetect EUR block (full block: 1:69687616-71372470)
ldEUR_01_0045,1,71378437,71678437,71372470,71684405,LDetect EUR block (full block: 1:71372470-71684405)
ldEUR_01_0046,1,72855656,73155656,71684405,74326907,LDetect EUR block (full block: 1:71684405-74326907)
ldEUR_01_0047,1,75377521,75677521,74326907,76728135,LDetect EUR block (full block: 1:74326907-76728135)
ldEUR_01_0048,1,78044666,78344666,76728135,79661198,LDetect EUR block (full block: 1:76728135-79661198)
ldEUR_01_0049,1,80357694,80657694,79661198,81354191,LDetect EUR block (full block: 1:79661198-81354191)
ldEUR_01_0050,1,82522969,82822969,81354191,83991748,LDetect EUR block (full block: 1:81354191-83991748)
ldEUR_01_0051,1,84268121,84568121,83991748,84844495,LDetect EUR block (full block: 1:83991748-84844495)
ldEUR_01_0052,1,85499623,85799623,84844495,86454751,LDetect EUR block (full block: 1:84844495-86454751)
ldEUR_01_0053,1,87141691,87441691,86454751,88128631,LDetect EUR block (full block: 1:86454751-88128631)
ldEUR_01_0054,1,88947467,89247467,88128631,90066303,LDetect EUR block (full block: 1:88128631-90066303)
ldEUR_01_0055,1,90826310,91126310,90066303,91886317,LDetect EUR block (full block: 1:90066303-91886317)
ldEUR_01_0056,1,92561388,92861388,91886317,93536459,LDetect EUR block (full block: 1:91886317-93536459)
ldEUR_01_0057,1,93871325,94171325,93536459,94506191,LDetect EUR block (full block: 1:93536459-94506191)
ldEUR_01_0058,1,95178542,95478542,94506191,96150893,LDetect EUR block (full block: 1:94506191-96150893)
ldEUR_01_0059,1,96868071,97168071,96150893,97885249,LDetect EUR block (full block: 1:96150893-97885249)
ldEUR_01_0060,1,98692926,98992926,97885249,99800604,LDetect EUR block (full block: 1:97885249-99800604)
ldEUR_01_0061,1,100163504,100463504,99800604,100826405,LDetect EUR block (full block: 1:99800604-100826405)
ldEUR_01_0062,1,101283710,101583710,100826405,102041016,LDetect EUR block (full block: 1:100826405-102041016)
ldEUR_01_0063,1,102319880,102619880,102041016,102898745,LDetect EUR block (full block: 1:102041016-102898745)
ldEUR_01_0064,1,103256478,103556478,102898745,103914211,LDetect EUR block (full block: 1:102898745-103914211)
ldEUR_01_0065,1,104851026,105151026,103914211,106087842,LDetect EUR block (full block: 1:103914211-106087842)
ldEUR_01_0066,1,107098753,107398753,106087842,108409665,LDetect EUR block (full block: 1:106087842-108409665)
ldEUR_01_0067,1,109206798,109506798,108409665,110303931,LDetect EUR block (full block: 1:108409665-110303931)
ldEUR_01_0068,1,110872834,111172834,110303931,111741737,LDetect EUR block (full block: 1:110303931-111741737)
ldEUR_01_0069,1,112357521,112657521,111741737,113273306,LDetect EUR block (full block: 1:111741737-113273306)
ldEUR_01_0070,1,113923575,114223575,113273306,114873845,LDetect EUR block (full block: 1:113273306-114873845)
ldEUR_01_0071,1,115227219,115527219,114873845,115880593,LDetect EUR block (full block: 1:114873845-115880593)
ldEUR_01_0072,1,117209830,117509830,115880593,118839067,LDetect EUR block (full block: 1:115880593-118839067)
ldEUR_01_0073,1,131758280,132058280,118839067,144977494,LDetect EUR block (full block: 1:118839067-144977494)
ldEUR_01_0074,1,146519373,146819373,144977494,148361253,LDetect EUR block (full block: 1:144977494-148361253)
ldEUR_01_0075,1,149800067,150100067,148361253,151538881,LDetect EUR block (full block: 1:148361253-151538881)
ldEUR_01_0076,1,152209855,152509855,151538881,153180829,LDetect EUR block (full block: 1:151538881-153180829)
ldEUR_01_0077,1,153825616,154125616,153180829,154770403,LDetect EUR block (full block: 1:153180829-154770403)
ldEUR_01_0078,1,155403268,155703268,154770403,156336133,LDetect EUR block (full block: 1:154770403-156336133)
ldEUR_01_0079,1,157031772,157331772,156336133,158027412,LDetect EUR block (full block: 1:156336133-158027412)
ldEUR_01_0080,1,158820230,159120230,158027412,159913048,LDetect EUR block (full block: 1:158027412-159913048)
ldEUR_01_0081,1,160979884,161279884,159913048,162346721,LDetect EUR block (full block: 1:159913048-162346721)
ldEUR_01_0082,1,163619211,163919211,162346721,165191702,LDetect EUR block (full block: 1:162346721-165191702)
ldEUR_01_0083,1,165676109,165976109,165191702,166460517,LDetect EUR block (full block: 1:165191702-166460517)
ldEUR_01_0084,1,167623420,167923420,166460517,169086324,LDetect EUR block (full block: 1:166460517-169086324)
ldEUR_01_0085,1,169672050,169972050,169086324,170557776,LDetect EUR block (full block: 1:169086324-170557776)
ldEUR_01_0086,1,171677841,171977841,170557776,173097907,LDetect EUR block (full block: 1:170557776-173097907)
ldEUR_01_0087,1,173943837,174243837,173097907,175089768,LDetect EUR block (full block: 1:173097907-175089768)
ldEUR_01_0088,1,176111574,176411574,175089768,177433381,LDetect EUR block (full block: 1:175089768-177433381)
ldEUR_01_0089,1,178038845,178338845,177433381,178944309,LDetect EUR block (full block: 1:177433381-178944309)
ldEUR_01_0090,1,179899295,180199295,178954470,181144121,LDetect EUR block (full block: 1:178954470-181144121)
ldEUR_01_0091,1,181799738,182099738,181144121,182755356,LDetect EUR block (full block: 1:181144121-182755356)
ldEUR_01_0092,1,183525434,183825434,182755356,184595513,LDetect EUR block (full block: 1:182755356-184595513)
ldEUR_01_0093,1,185552768,185852768,184595513,186810023,LDetect EUR block (full block: 1:184595513-186810023)
ldEUR_01_0094,1,187634984,187934984,186810023,188759945,LDetect EUR block (full block: 1:186810023-188759945)
ldEUR_01_0095,1,189182037,189482037,188759945,189904130,LDetect EUR block (full block: 1:188759945-189904130)
ldEUR_01_0096,1,190736530,191036530,189904130,191868930,LDetect EUR block (full block: 1:189904130-191868930)
ldEUR_01_0097,1,192838186,193138186,191868930,194107442,LDetect EUR block (full block: 1:191868930-194107442)
ldEUR_01_0098,1,194991821,195291821,194107442,196176201,LDetect EUR block (full block: 1:194107442-196176201)
ldEUR_01_0099,1,196593857,196893857,196176201,197311514,LDetect EUR block (full block: 1:196176201-197311514)
ldEUR_01_0100,1,198125699,198425699,197311514,199239884,LDetect EUR block (full block: 1:197311514-199239884)
ldEUR_01_0101,1,199538766,199838766,199239884,200137649,LDetect EUR block (full block: 1:199239884-200137649)
ldEUR_01_0102,1,200713812,201013812,200137649,201589975,LDetect EUR block (full block: 1:200137649-201589975)
ldEUR_01_0103,1,202312354,202612354,201589975,203334734,LDetect EUR block (full block: 1:201589975-203334734)
ldEUR_01_0104,1,203857901,204157901,203334734,204681068,LDetect EUR block (full block: 1:203334734-204681068)
ldEUR_01_0105,1,205227166,205527166,204681068,206073265,LDetect EUR block (full block: 1:204681068-206073265)
ldEUR_01_0106,1,207091814,207391814,206073265,208410364,LDetect EUR block (full block: 1:206073265-208410364)
ldEUR_01_0107,1,209449057,209749057,208410364,210787750,LDetect EUR block (full block: 1:208410364-210787750)
ldEUR_01_0108,1,211665040,211965040,210787750,212842330,LDetect EUR block (full block: 1:210787750-212842330)
ldEUR_01_0109,1,213560298,213860298,212842330,214578266,LDetect EUR block (full block: 1:212842330-214578266)
ldEUR_01_0110,1,215260950,215560950,214578266,216243634,LDetect EUR block (full block: 1:214578266-216243634)
ldEUR_01_0111,1,217324573,217624573,216243634,218705513,LDetect EUR block (full block: 1:216243634-218705513)
ldEUR_01_0112,1,218998042,219298042,218705513,219590571,LDetect EUR block (full block: 1:218705513-219590571)
ldEUR_01_0113,1,220574401,220874401,219590571,221858231,LDetect EUR block (full block: 1:219590571-221858231)
ldEUR_01_0114,1,221894225,222194225,221858231,222230220,LDetect EUR block (full block: 1:221858231-222230220)
ldEUR_01_0115,1,223434370,223734370,222230220,224938520,LDetect EUR block (full block: 1:222230220-224938520)
ldEUR_01_0116,1,225724690,226024690,224938520,226810860,LDetect EUR block (full block: 1:224938520-226810860)
ldEUR_01_0117,1,227833554,228133554,226810860,229156248,LDetect EUR block (full block: 1:226810860-229156248)
ldEUR_01_0118,1,229770751,230070751,229156248,230685255,LDetect EUR block (full block: 1:229156248-230685255)
ldEUR_01_0119,1,231237753,231537753,230685255,232090252,LDetect EUR block (full block: 1:230685255-232090252)
ldEUR_01_0120,1,232609768,232909768,232090252,233429284,LDetect EUR block (full block: 1:232090252-233429284)
ldEUR_01_0121,1,233864359,234164359,233429284,234599434,LDetect EUR block (full block: 1:233429284-234599434)
ldEUR_01_0122,1,235059435,235359435,234599434,235819436,LDetect EUR block (full block: 1:234599434-235819436)
ldEUR_01_0123,1,236537532,236837532,235819436,237555628,LDetect EUR block (full block: 1:235819436-237555628)
ldEUR_01_0124,1,237911717,238211717,237555628,238567807,LDetect EUR block (full block: 1:237555628-238567807)
ldEUR_01_0125,1,239096560,239396560,238567807,239925314,LDetect EUR block (full block: 1:238567807-239925314)
ldEUR_01_0126,1,240094702,240394702,239925314,240564091,LDetect EUR block (full block: 1:239925314-240564091)
ldEUR_01_0127,1,240923155,241223155,240564091,241582220,LDetect EUR block (full block: 1:240564091-241582220)
ldEUR_01_0128,1,241676911,241976911,241582220,242071602,LDetect EUR block (full block: 1:241582220-242071602)
ldEUR_01_0129,1,242940550,243240550,242071602,244109499,LDetect EUR block (full block: 1:242071602-244109499)
ldEUR_01_0130,1,244658122,244958122,244109499,245506746,LDetect EUR block (full block: 1:244109499-245506746)
ldEUR_01_0131,1,246275632,246575632,245506746,247344518,LDetect EUR block (full block: 1:245506746-247344518)
ldEUR_01_0132,1,248141992,248441992,247344518,249239466,LDetect EUR block (full block: 1:247344518-249239466)
ldEUR_02_0001,2,745577,1045577,10133,1781022,LDetect EUR block (full block: 2:10133-1781022)
ldEUR_02_0002,2,2727400,3027400,1781022,3973779,LDetect EUR block (full block: 2:1781022-3973779)
ldEUR_02_0003,2,4691058,4991058,3973779,5708337,LDetect EUR block (full block: 2:3973779-5708337)
ldEUR_02_0004,2,6122295,6422295,5708337,6836254,LDetect EUR block (full block: 2:5708337-6836254)
ldEUR_02_0005,2,7479200,7779200,6836254,8422147,LDetect EUR block (full block: 2:6836254-8422147)
ldEUR_02_0006,2,9210308,9510308,8422147,10298469,LDetect EUR block (full block: 2:8422147-10298469)
ldEUR_02_0007,2,11208809,11508809,10298469,12419150,LDetect EUR block (full block: 2:10298469-12419150)
ldEUR_02_0008,2,13227229,13527229,12419150,14335308,LDetect EUR block (full block: 2:12419150-14335308)
ldEUR_02_0009,2,15182521,15482521,14335308,16329735,LDetect EUR block (full block: 2:14335308-16329735)
ldEUR_02_0010,2,17338579,17638579,16329735,18647423,LDetect EUR block (full block: 2:16329735-18647423)
ldEUR_02_0011,2,19019913,19319913,18647423,19692404,LDetect EUR block (full block: 2:18647423-19692404)
ldEUR_02_0012,2,20221447,20521447,19692404,21050490,LDetect EUR block (full block: 2:19692404-21050490)
ldEUR_02_0013,2,22045936,22345936,21050490,23341383,LDetect EUR block (full block: 2:21050490-23341383)
ldEUR_02_0014,2,23864150,24164150,23341383,24686918,LDetect EUR block (full block: 2:23341383-24686918)
ldEUR_02_0015,2,25640951,25940951,24686918,26894985,LDetect EUR block (full block: 2:24686918-26894985)
ldEUR_02_0016,2,27596881,27896881,26894985,28598777,LDetect EUR block (full block: 2:26894985-28598777)
ldEUR_02_0017,2,28758168,29058168,28598777,29217559,LDetect EUR block (full block: 2:28598777-29217559)
ldEUR_02_0018,2,29690635,29990635,29217559,30463711,LDetect EUR block (full block: 2:29217559-30463711)
ldEUR_02_0019,2,30857080,31157080,30463711,31550450,LDetect EUR block (full block: 2:30463711-31550450)
ldEUR_02_0020,2,32307113,32607113,31550450,33363777,LDetect EUR block (full block: 2:31550450-33363777)
ldEUR_02_0021,2,34204402,34504402,33363777,35345028,LDetect EUR block (full block: 2:33363777-35345028)
ldEUR_02_0022,2,35583517,35883517,35345028,36122006,LDetect EUR block (full block: 2:35345028-36122006)
ldEUR_02_0023,2,36977359,37277359,36122006,38132712,LDetect EUR block (full block: 2:36122006-38132712)
ldEUR_02_0024,2,38432024,38732024,38132712,39031337,LDetect EUR block (full block: 2:38132712-39031337)
ldEUR_02_0025,2,39506410,39806410,39031337,40281483,LDetect EUR block (full block: 2:39031337-40281483)
ldEUR_02_0026,2,41645536,41945536,40281483,43309590,LDetect EUR block (full block: 2:40281483-43309590)
ldEUR_02_0027,2,43661696,43961696,43309590,44313803,LDetect EUR block (full block: 2:43309590-44313803)
ldEUR_02_0028,2,45248218,45548218,44313803,46482634,LDetect EUR block (full block: 2:44313803-46482634)
ldEUR_02_0029,2,46750703,47050703,46482634,47318772,LDetect EUR block (full block: 2:46482634-47318772)
ldEUR_02_0030,2,47615886,47915886,47318772,48213001,LDetect EUR block (full block: 2:47318772-48213001)
ldEUR_02_0031,2,48967629,49267629,48213001,50022257,LDetect EUR block (full block: 2:48213001-50022257)
ldEUR_02_0032,2,50270592,50570592,50022257,50818928,LDetect EUR block (full block: 2:50022257-50818928)
ldEUR_02_0033,2,51505030,51805030,50818928,52491133,LDetect EUR block (full block: 2:50818928-52491133)
ldEUR_02_0034,2,52849792,53149792,52491133,53508452,LDetect EUR block (full block: 2:52491133-53508452)
ldEUR_02_0035,2,53946839,54246839,53508452,54685226,LDetect EUR block (full block: 2:53508452-54685226)
ldEUR_02_0036,2,55294285,55594285,54685226,56203345,LDetect EUR block (full block: 2:54685226-56203345)
ldEUR_02_0037,2,56666222,56966222,56203345,57429100,LDetect EUR block (full block: 2:56203345-57429100)
ldEUR_02_0038,2,57713207,58013207,57429100,58297315,LDetect EUR block (full block: 2:57429100-58297315)
ldEUR_02_0039,2,59144657,59444657,58297315,60292000,LDetect EUR block (full block: 2:58297315-60292000)
ldEUR_02_0040,2,61210522,61510522,60292000,62429044,LDetect EUR block (full block: 2:60292000-62429044)
ldEUR_02_0041,2,63377478,63677478,62429044,64625913,LDetect EUR block (full block: 2:62429044-64625913)
ldEUR_02_0042,2,65129678,65429678,64625913,65933444,LDetect EUR block (full block: 2:64625913-65933444)
ldEUR_02_0043,2,66429805,66729805,65933444,67226166,LDetect EUR block (full block: 2:65933444-67226166)
ldEUR_02_0044,2,67468171,67768171,67226166,68010176,LDetect EUR block (full block: 2:67226166-68010176)
ldEUR_02_0045,2,68424870,68724870,68010176,69139564,LDetect EUR block (full block: 2:68010176-69139564)
ldEUR_02_0046,2,69797381,70097381,69139564,70755198,LDetect EUR block (full block: 2:69139564-70755198)
ldEUR_02_0047,2,71815023,72115023,70755198,73174848,LDetect EUR block (full block: 2:70755198-73174848)
ldEUR_02_0048,2,74252467,74552467,73174848,75630086,LDetect EUR block (full block: 2:73174848-75630086)
ldEUR_02_0049,2,76121873,76421873,75630086,76913661,LDetect EUR block (full block: 2:75630086-76913661)
ldEUR_02_0050,2,77346462,77646462,76913661,78079264,LDetect EUR block (full block: 2:76913661-78079264)
ldEUR_02_0051,2,78914833,79214833,78079264,80050403,LDetect EUR block (full block: 2:78079264-80050403)
ldEUR_02_0052,2,80685622,80985622,80050403,81620841,LDetect EUR block (full block: 2:80050403-81620841)
ldEUR_02_0053,2,83230760,83530760,81620841,85140680,LDetect EUR block (full block: 2:81620841-85140680)
ldEUR_02_0054,2,86439593,86739593,85140680,88038507,LDetect EUR block (full block: 2:85140680-88038507)
ldEUR_02_0055,2,88446516,88746516,88038507,89154526,LDetect EUR block (full block: 2:88038507-89154526)
ldEUR_02_0056,2,92090489,92390489,89154526,95326452,LDetect EUR block (full block: 2:89154526-95326452)
ldEUR_02_0057,2,97010826,97310826,95326452,98995201,LDetect EUR block (full block: 2:95326452-98995201)
ldEUR_02_0058,2,100258765,100558765,98995201,101822329,LDetect EUR block (full block: 2:98995201-101822329)
ldEUR_02_0059,2,102105547,102405547,101822329,102688765,LDetect EUR block (full block: 2:101822329-102688765)
ldEUR_02_0060,2,102988490,103288490,102688765,103588215,LDetect EUR block (full block: 2:102688765-103588215)
ldEUR_02_0061,2,104206624,104506624,103588215,105125034,LDetect EUR block (full block: 2:103588215-105125034)
ldEUR_02_0062,2,105517546,105817546,105125034,106210058,LDetect EUR block (full block: 2:105125034-106210058)
ldEUR_02_0063,2,106659162,106959162,106210058,107408267,LDetect EUR block (full block: 2:106210058-107408267)
ldEUR_02_0064,2,107768722,108068722,107408267,108429177,LDetect EUR block (full block: 2:107408267-108429177)
ldEUR_02_0065,2,109350804,109650804,108429177,110572432,LDetect EUR block (full block: 2:108429177-110572432)
ldEUR_02_0066,2,112097144,112397144,110572432,113921856,LDetect EUR block (full block: 2:110572432-113921856)
ldEUR_02_0067,2,115197163,115497163,113921856,116772470,LDetect EUR block (full block: 2:113921856-116772470)
ldEUR_02_0068,2,117419968,117719968,116772470,118367466,LDetect EUR block (full block: 2:116772470-118367466)
ldEUR_02_0069,2,119685624,119985624,118367466,121303783,LDetect EUR block (full block: 2:118367466-121303783)
ldEUR_02_0070,2,122153344,122453344,121303783,123302906,LDetect EUR block (full block: 2:121303783-123302906)
ldEUR_02_0071,2,123867578,124167578,123302906,124732250,LDetect EUR block (full block: 2:123302906-124732250)
ldEUR_02_0072,2,125136585,125436585,124732250,125840921,LDetect EUR block (full block: 2:124732250-125840921)
ldEUR_02_0073,2,126457342,126757342,125840921,127373764,LDetect EUR block (full block: 2:125840921-127373764)
ldEUR_02_0074,2,127554055,127854055,127373764,128034347,LDetect EUR block (full block: 2:127373764-128034347)
ldEUR_02_0075,2,128604394,128904394,128034347,129474441,LDetect EUR block (full block: 2:128034347-129474441)
ldEUR_02_0076,2,129620805,129920805,129474441,130067170,LDetect EUR block (full block: 2:129474441-130067170)
ldEUR_02_0077,2,130212627,130512627,130067170,130658085,LDetect EUR block (full block: 2:130067170-130658085)
ldEUR_02_0078,2,131700434,132000434,130658085,133042784,LDetect EUR block (full block: 2:130658085-133042784)
ldEUR_02_0079,2,133950681,134250681,133042784,135158578,LDetect EUR block (full block: 2:133042784-135158578)
ldEUR_02_0080,2,135950686,136250686,135158578,137042794,LDetect EUR block (full block: 2:135158578-137042794)
ldEUR_02_0081,2,137720455,138020455,137042794,138698117,LDetect EUR block (full block: 2:137042794-138698117)
ldEUR_02_0082,2,139249194,139549194,138698117,140100271,LDetect EUR block (full block: 2:138698117-140100271)
ldEUR_02_0083,2,140802811,141102811,140100271,141805351,LDetect EUR block (full block: 2:140100271-141805351)
ldEUR_02_0084,2,142011976,142311976,141805351,142518602,LDetect EUR block (full block: 2:141805351-142518602)
ldEUR_02_0085,2,143369043,143669043,142518602,144519484,LDetect EUR block (full block: 2:142518602-144519484)
ldEUR_02_0086,2,145332527,145632527,144519484,146445570,LDetect EUR block (full block: 2:144519484-146445570)
ldEUR_02_0087,2,146711366,147011366,146445570,147277162,LDetect EUR block (full block: 2:146445570-147277162)
ldEUR_02_0088,2,148593727,148893727,147277162,150210292,LDetect EUR block (full block: 2:147277162-150210292)
ldEUR_02_0089,2,150820877,151120877,150210292,151731462,LDetect EUR block (full block: 2:150210292-151731462)
ldEUR_02_0090,2,151959122,152259122,151731462,152486782,LDetect EUR block (full block: 2:151731462-152486782)
ldEUR_02_0091,2,153095919,153395919,152486782,154005056,LDetect EUR block (full block: 2:152486782-154005056)
ldEUR_02_0092,2,154548095,154848095,154005056,155391135,LDetect EUR block (full block: 2:154005056-155391135)
ldEUR_02_0093,2,156325885,156625885,155391135,157560635,LDetect EUR block (full block: 2:155391135-157560635)
ldEUR_02_0094,2,157896926,158196926,157560635,158533218,LDetect EUR block (full block: 2:157560635-158533218)
ldEUR_02_0095,2,158905150,159205150,158533218,159577082,LDetect EUR block (full block: 2:158533218-159577082)
ldEUR_02_0096,2,160523407,160823407,159577082,161769733,LDetect EUR block (full block: 2:159577082-161769733)
ldEUR_02_0097,2,162486642,162786642,161769733,163503551,LDetect EUR block (full block: 2:161769733-163503551)
ldEUR_02_0098,2,163835094,164135094,163503551,164466638,LDetect EUR block (full block: 2:163503551-164466638)
ldEUR_02_0099,2,164672739,164972739,164466638,165178840,LDetect EUR block (full block: 2:164466638-165178840)
ldEUR_02_0100,2,166019555,166319555,165178840,167160270,LDetect EUR block (full block: 2:165178840-167160270)
ldEUR_02_0101,2,167160270,167355970,167160270,167355970,LDetect EUR block (full block: 2:167160270-167355970)
ldEUR_02_0102,2,168512103,168812103,167355970,169968236,LDetect EUR block (full block: 2:167355970-169968236)
ldEUR_02_0103,2,170447240,170747240,169968236,171226245,LDetect EUR block (full block: 2:169968236-171226245)
ldEUR_02_0104,2,172032575,172332575,171226245,173138905,LDetect EUR block (full block: 2:171226245-173138905)
ldEUR_02_0105,2,174213917,174513917,173138905,175588929,LDetect EUR block (full block: 2:173138905-175588929)
ldEUR_02_0106,2,176326282,176626282,175588929,177363636,LDetect EUR block (full block: 2:175588929-177363636)
ldEUR_02_0107,2,177808409,178108409,177363636,178553183,LDetect EUR block (full block: 2:177363636-178553183)
ldEUR_02_0108,2,179782961,180082961,178553183,181312739,LDetect EUR block (full block: 2:178553183-181312739)
ldEUR_02_0109,2,181639385,181939385,181312739,182266031,LDetect EUR block (full block: 2:181312739-182266031)
ldEUR_02_0110,2,183161819,183461819,182266031,184357608,LDetect EUR block (full block: 2:182266031-184357608)
ldEUR_02_0111,2,184668890,184968890,184357608,185280173,LDetect EUR block (full block: 2:184357608-185280173)
ldEUR_02_0112,2,187431119,187731119,185280173,189882065,LDetect EUR block (full block: 2:185280173-189882065)
ldEUR_02_0113,2,190777711,191077711,189882065,191973357,LDetect EUR block (full block: 2:189882065-191973357)
ldEUR_02_0114,2,193767260,194067260,191973357,195861164,LDetect EUR block (full block: 2:191973357-195861164)
ldEUR_02_0115,2,196004310,196304310,195861164,196447456,LDetect EUR block (full block: 2:195861164-196447456)
ldEUR_02_0116,2,197112783,197412783,196447456,198078110,LDetect EUR block (full block: 2:196447456-198078110)
ldEUR_02_0117,2,198544617,198844617,198078110,199311125,LDetect EUR block (full block: 2:198078110-199311125)
ldEUR_02_0118,2,200293704,200593704,199311125,201576284,LDetect EUR block (full block: 2:199311125-201576284)
ldEUR_02_0119,2,202047460,202347460,201576284,202818637,LDetect EUR block (full block: 2:201576284-202818637)
ldEUR_02_0120,2,204158939,204458939,202818637,205799241,LDetect EUR block (full block: 2:202818637-205799241)
ldEUR_02_0121,2,206117472,206417472,205799241,206735704,LDetect EUR block (full block: 2:205799241-206735704)
ldEUR_02_0122,2,207540551,207840551,206735704,208645399,LDetect EUR block (full block: 2:206735704-208645399)
ldEUR_02_0123,2,209143464,209443464,208645399,209941529,LDetect EUR block (full block: 2:208645399-209941529)
ldEUR_02_0124,2,211010523,211310523,209941529,212379518,LDetect EUR block (full block: 2:209941529-212379518)
ldEUR_02_0125,2,213046900,213346900,212379518,214014282,LDetect EUR block (full block: 2:212379518-214014282)
ldEUR_02_0126,2,214644038,214944038,214014282,215573795,LDetect EUR block (full block: 2:214014282-215573795)
ldEUR_02_0127,2,216494728,216794728,215573795,217715661,LDetect EUR block (full block: 2:215573795-217715661)
ldEUR_02_0128,2,217905570,218205570,217715661,218395480,LDetect EUR block (full block: 2:217715661-218395480)
ldEUR_02_0129,2,219275015,219575015,218395480,220454551,LDetect EUR block (full block: 2:218395480-220454551)
ldEUR_02_0130,2,221337863,221637863,220454551,222521176,LDetect EUR block (full block: 2:220454551-222521176)
ldEUR_02_0131,2,223540297,223840297,222521176,224859419,LDetect EUR block (full block: 2:222521176-224859419)
